date,year,month,month_name,week,day_of_week,product_id,product_name,category,supplier,store_id,region,units_sold,current_stock,lead_time_days,unit_price,unit_cost,sales_revenue,revenue_per_unit,profit,profit_margin,reorder_cost,holding_cost_per_unit
2023-01-01,2023,1,January,52,Sunday,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,S01,North,71,2329,3,1.5,0.6,106.5,1.5,63.9,60.0,50.0,0.05
2023-01-01,2023,1,January,52,Sunday,P002,Orange Juice 1L,Beverages,FruitVine Co,S01,North,75,2025,4,2.2,1.1,165.0,2.2,82.5,50.0,60.0,0.08
2023-01-01,2023,1,January,52,Sunday,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,S01,North,104,1096,5,1.8,0.75,187.2,1.8,109.2,58.33,55.0,0.06
2023-01-01,2023,1,January,52,Sunday,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,S01,North,26,334,7,3.5,1.8,91.0,3.5,44.2,48.57,70.0,0.1
2023-01-01,2023,1,January,52,Sunday,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,S01,North,92,1558,6,5.99,2.8,551.08,5.99,293.48,53.26,80.0,0.15
2023-01-01,2023,1,January,52,Sunday,P006,Coconut Water 330ml,Beverages,TropicSip Co,S01,North,32,418,5,2.0,0.9,64.0,2.0,35.2,55.0,55.0,0.07
2023-01-01,2023,1,January,52,Sunday,P007,Potato Chips 150g,Snacks,CrunchCo Foods,S01,North,126,2574,4,1.99,0.85,250.74,1.99,143.64,57.29,50.0,0.06
2023-01-01,2023,1,January,52,Sunday,P008,Mixed Nuts 200g,Snacks,NutHouse Ltd,S01,North,42,498,7,4.5,2.2,189.0,4.5,96.6,51.11,75.0,0.12
2023-01-01,2023,1,January,52,Sunday,P009,Chocolate Bar 50g,Snacks,ChocoWorld Inc,S01,North,219,2781,3,1.2,0.55,262.8,1.2,142.35,54.17,45.0,0.04
2023-01-01,2023,1,January,52,Sunday,P010,Rice Cakes 100g,Snacks,GrainCraft Foods,S01,North,18,582,5,1.6,0.7,28.8,1.6,16.2,56.25,50.0,0.05
2023-01-01,2023,1,January,52,Sunday,P011,Popcorn Microwave 3pk,Snacks,PopKing Ltd,S01,North,23,877,4,2.5,1.0,57.5,2.5,34.5,60.0,55.0,0.07
2023-01-01,2023,1,January,52,Sunday,P012,Granola Bar 6pk,Snacks,FitSnack Co,S01,North,88,1412,5,3.2,1.5,281.6,3.2,149.6,53.12,60.0,0.09
2023-01-01,2023,1,January,52,Sunday,P013,Pretzels 200g,Snacks,CrunchCo Foods,S01,North,14,646,4,2.1,0.95,29.4,2.1,16.1,54.76,52.0,0.06
2023-01-01,2023,1,January,52,Sunday,P014,Shampoo 400ml,Personal Care,GlowCare Ltd,S01,North,37,713,7,4.99,2.1,184.63,4.99,106.93,57.92,80.0,0.14
2023-01-01,2023,1,January,52,Sunday,P015,Toothpaste 100ml,Personal Care,BrightSmile Inc,S01,North,51,1749,5,2.5,1.1,127.5,2.5,71.4,56.0,60.0,0.08
2023-01-01,2023,1,January,52,Sunday,P016,Hand Sanitizer 250ml,Personal Care,PureGuard Co,S01,North,225,825,4,3.0,1.2,675.0,3.0,405.0,60.0,55.0,0.09
2023-01-01,2023,1,January,52,Sunday,P017,Body Lotion 200ml,Personal Care,GlowCare Ltd,S01,North,52,488,7,5.5,2.4,286.0,5.5,161.2,56.36,85.0,0.15
2023-01-01,2023,1,January,52,Sunday,P018,Razor 5pk,Personal Care,SmoothShave Ltd,S01,North,20,430,6,6.99,3.1,139.8,6.99,77.8,55.65,90.0,0.18
2023-01-01,2023,1,January,52,Sunday,P019,Deodorant Spray 150ml,Personal Care,FreshScent Co,S01,North,53,1297,5,3.8,1.6,201.4,3.8,116.6,57.89,65.0,0.11
2023-01-01,2023,1,January,52,Sunday,P020,Dish Soap 500ml,Household,CleanHome Ltd,S01,North,63,1887,5,2.2,0.95,138.6,2.2,78.75,56.82,55.0,0.07
2023-01-01,2023,1,January,52,Sunday,P021,Paper Towels 6pk,Household,PaperPlus Co,S01,North,63,1587,6,5.5,2.5,346.5,5.5,189.0,54.55,80.0,0.16
2023-01-01,2023,1,January,52,Sunday,P022,Laundry Detergent 1kg,Household,WashWell Inc,S01,North,26,574,8,7.99,3.5,207.74,7.99,116.74,56.2,100.0,0.22
2023-01-01,2023,1,January,52,Sunday,P023,Trash Bags 20pk,Household,CleanHome Ltd,S01,North,36,624,6,4.5,2.0,162.0,4.5,90.0,55.56,70.0,0.13
2023-01-01,2023,1,January,52,Sunday,P024,All-Purpose Cleaner 750ml,Household,WashWell Inc,S01,North,39,861,5,3.2,1.4,124.8,3.2,70.2,56.25,60.0,0.09
2023-01-01,2023,1,January,52,Sunday,P025,Whole Milk 2L,Dairy,FarmFresh Dairy,S01,North,161,3439,2,2.1,1.1,338.1,2.1,161.0,47.62,40.0,0.06
2023-01-01,2023,1,January,52,Sunday,P026,Greek Yoghurt 500g,Dairy,FarmFresh Dairy,S01,North,76,2324,2,2.8,1.3,212.8,2.8,114.0,53.57,40.0,0.07
2023-01-01,2023,1,January,52,Sunday,P027,Cheddar Cheese 400g,Dairy,CheeseCraft Ltd,S01,North,58,1592,3,4.5,2.2,261.0,4.5,133.4,51.11,55.0,0.12
2023-01-01,2023,1,January,52,Sunday,P028,Butter 250g,Dairy,CreamTop Co,S01,North,87,753,3,3.5,1.8,304.5,3.5,147.9,48.57,50.0,0.1
2023-01-01,2023,1,January,52,Sunday,P029,Cream Cheese 200g,Dairy,CreamTop Co,S01,North,22,578,3,2.9,1.4,63.8,2.9,33.0,51.72,48.0,0.08
2023-01-01,2023,1,January,52,Sunday,P030,Skimmed Milk 1L,Dairy,FarmFresh Dairy,S01,North,106,1994,2,1.6,0.8,169.6,1.6,84.8,50.0,38.0,0.05
2023-01-01,2023,1,January,52,Sunday,P031,White Bread 800g,Bakery,BakeMaster Ltd,S01,North,120,3780,2,1.8,0.75,216.0,1.8,126.0,58.33,35.0,0.05
2023-01-01,2023,1,January,52,Sunday,P032,Sourdough Loaf 600g,Bakery,ArtisanBake Co,S01,North,93,1707,2,3.5,1.6,325.5,3.5,176.7,54.29,45.0,0.09
2023-01-01,2023,1,January,52,Sunday,P033,Croissants 4pk,Bakery,BakeMaster Ltd,S01,North,51,999,2,2.6,1.1,132.6,2.6,76.5,57.69,40.0,0.07
2023-01-01,2023,1,January,52,Sunday,P034,Muffins 6pk,Bakery,SweetBakes Inc,S01,North,80,670,2,3.2,1.4,256.0,3.2,144.0,56.25,42.0,0.08
2023-01-01,2023,1,January,52,Sunday,P035,Rye Bread 500g,Bakery,ArtisanBake Co,S01,North,17,523,2,2.9,1.25,49.3,2.9,28.05,56.9,40.0,0.07
2023-01-01,2023,1,January,52,Sunday,P036,Frozen Pizza 400g,Frozen Foods,IceBite Foods,S01,North,114,2136,5,4.2,1.9,478.8,4.2,262.2,54.76,70.0,0.13
2023-01-01,2023,1,January,52,Sunday,P037,Frozen Peas 1kg,Frozen Foods,IceBite Foods,S01,North,106,1694,5,2.5,1.1,265.0,2.5,148.4,56.0,55.0,0.08
2023-01-01,2023,1,January,52,Sunday,P038,Frozen Chips 750g,Frozen Foods,FrostFarm Ltd,S01,North,71,1879,5,2.8,1.2,198.8,2.8,113.6,57.14,58.0,0.09
2023-01-01,2023,1,January,52,Sunday,P039,Ice Cream 1L,Frozen Foods,CoolCreams Co,S01,North,68,2032,4,4.99,2.1,339.32,4.99,196.52,57.92,65.0,0.14
2023-01-01,2023,1,January,52,Sunday,P040,Frozen Fish Fillets 500g,Frozen Foods,FrostFarm Ltd,S01,North,21,639,6,6.5,3.0,136.5,6.5,73.5,53.85,90.0,0.18
2023-01-01,2023,1,January,52,Sunday,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,S02,South,132,2268,3,1.5,0.6,198.0,1.5,118.8,60.0,50.0,0.05
2023-01-01,2023,1,January,52,Sunday,P002,Orange Juice 1L,Beverages,FruitVine Co,S02,South,85,2015,4,2.2,1.1,187.0,2.2,93.5,50.0,60.0,0.08
2023-01-01,2023,1,January,52,Sunday,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,S02,South,228,972,5,1.8,0.75,410.4,1.8,239.4,58.33,55.0,0.06
2023-01-01,2023,1,January,52,Sunday,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,S02,South,8,352,7,3.5,1.8,28.0,3.5,13.6,48.57,70.0,0.1
2023-01-01,2023,1,January,52,Sunday,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,S02,South,113,1537,6,5.99,2.8,676.87,5.99,360.47,53.26,80.0,0.15
2023-01-01,2023,1,January,52,Sunday,P006,Coconut Water 330ml,Beverages,TropicSip Co,S02,South,14,436,5,2.0,0.9,28.0,2.0,15.4,55.0,55.0,0.07
