product_id,product_name,category,unit_price,unit_cost,lead_time_days,reorder_cost,holding_cost_per_unit,current_stock,avg_daily_demand,std_daily_demand,forecast_daily_demand,forecast_next_7d,forecast_next_14d,forecast_next_30d,safety_stock_units,reorder_point_units,suggested_reorder_qty,estimated_order_value,inventory_status,reorder_priority,days_of_stock_remaining,demand_variability,stockout_risk,reference_date
P001,Sparkling Water 500ml,Beverages,1.5,0.6,3,50.0,0.05,1955,618.33,153.03,809.7,5667.9,11335.8,24291.0,266,2121,22602,13561.2,Reorder Soon,High,2.4,Stable,HIGH,2024-06-30
P026,Greek Yoghurt 500g,Dairy,2.8,1.3,2,40.0,0.07,1487,613.83,156.78,749.63,5247.4,10494.8,22488.9,222,1450,21224,27591.2,Healthy Stock,High,2.0,Stable,HIGH,2024-06-30
P039,Ice Cream 1L,Frozen Foods,4.99,2.1,4,65.0,0.14,1527,542.71,135.95,665.27,4656.9,9313.8,19958.2,272,2443,18703,39276.3,Reorder Soon,High,2.3,Stable,HIGH,2024-06-30
P031,White Bread 800g,Bakery,1.8,0.75,2,35.0,0.05,3047,713.65,108.73,707.5,4952.5,9905.0,21225.1,154,1582,18332,13749.0,Healthy Stock,High,4.3,Stable,LOW,2024-06-30
P025,Whole Milk 2L,Dairy,2.1,1.1,2,40.0,0.06,2704,659.74,102.56,652.65,4568.6,9137.1,19579.5,146,1465,17022,18724.2,Healthy Stock,High,4.1,Stable,LOW,2024-06-30
P009,Chocolate Bar 50g,Snacks,1.2,0.55,3,45.0,0.04,1662,697.79,171.0,538.32,3768.2,7536.5,16149.6,297,2390,14785,8131.75,Reorder Soon,High,3.1,Stable,MEDIUM,2024-06-30
P007,Potato Chips 150g,Snacks,1.99,0.85,4,50.0,0.06,2195,498.22,79.97,485.08,3395.6,6791.2,14552.5,160,2153,12518,10640.3,Healthy Stock,High,4.5,Stable,MEDIUM,2024-06-30
P019,Deodorant Spray 150ml,Personal Care,3.8,1.6,5,65.0,0.11,794,345.67,89.16,428.59,3000.1,6000.3,12857.7,200,1928,12264,19622.4,Reorder Soon,High,1.9,Stable,HIGH,2024-06-30
P036,Frozen Pizza 400g,Frozen Foods,4.2,1.9,5,70.0,0.13,1858,530.09,133.14,430.45,3013.2,6026.4,12913.6,298,2949,11354,21572.6,Reorder Soon,High,4.3,Stable,HIGH,2024-06-30
P030,Skimmed Milk 1L,Dairy,1.6,0.8,2,38.0,0.05,1229,384.19,63.22,387.43,2712.0,5424.0,11622.9,90,858,10484,8387.2,Healthy Stock,High,3.2,Stable,MEDIUM,2024-06-30
P038,Frozen Chips 750g,Frozen Foods,2.8,1.2,5,58.0,0.09,1341,358.49,58.52,353.48,2474.3,4948.7,10604.3,131,1924,9394,11272.8,Reorder Soon,Medium,3.8,Stable,HIGH,2024-06-30
P015,Toothpaste 100ml,Personal Care,2.5,1.1,5,60.0,0.08,1430,332.45,53.43,356.44,2495.1,4990.2,10693.3,120,1782,9383,10321.3,Reorder Soon,Medium,4.0,Stable,HIGH,2024-06-30
P020,Dish Soap 500ml,Household,2.2,0.95,5,55.0,0.07,1672,359.03,58.91,346.5,2425.5,4851.0,10395.0,132,1927,8855,8412.25,Reorder Soon,Medium,4.8,Stable,HIGH,2024-06-30
P037,Frozen Peas 1kg,Frozen Foods,2.5,1.1,5,55.0,0.08,1412,335.91,54.49,324.81,2273.7,4547.3,9744.3,122,1802,8454,9299.4,Reorder Soon,Medium,4.3,Stable,HIGH,2024-06-30
P027,Cheddar Cheese 400g,Dairy,4.5,2.2,3,55.0,0.12,880,302.65,49.81,304.32,2130.2,4260.4,9129.5,87,995,8336,18339.2,Reorder Soon,Medium,2.9,Stable,HIGH,2024-06-30
P005,Coffee Capsules 10pk,Beverages,5.99,2.8,6,80.0,0.15,1534,390.18,97.59,293.8,2056.6,4113.2,8813.9,240,2581,7520,21056.0,Reorder Soon,Medium,5.2,Stable,HIGH,2024-06-30
P021,Paper Towels 6pk,Household,5.5,2.5,6,80.0,0.16,1720,301.01,49.45,300.74,2105.2,4210.3,9022.1,122,1928,7424,18560.0,Reorder Soon,Medium,5.7,Stable,HIGH,2024-06-30
