product_id,product_name,category,unit_price,unit_cost,lead_time_days,reorder_cost,holding_cost_per_unit,current_stock,history_days,avg_daily_demand,std_daily_demand,cv,demand_variability,avg_demand_last_7d,avg_demand_last_14d,avg_demand_last_30d,forecast_daily_demand,forecast_next_7d,forecast_next_14d,forecast_next_30d,days_of_stock_remaining,stockout_risk,reference_date
P001,Sparkling Water 500ml,Beverages,1.5,0.6,3,50.0,0.05,1955,547,618.33,153.03,0.2475,Stable,829.86,791.93,785.97,809.7,5667.9,11335.8,24291.0,2.4,HIGH,2024-06-30
P026,Greek Yoghurt 500g,Dairy,2.8,1.3,2,40.0,0.07,1487,547,613.83,156.78,0.2554,Stable,740.86,747.14,775.3,749.63,5247.4,10494.8,22488.9,2.0,HIGH,2024-06-30
P031,White Bread 800g,Bakery,1.8,0.75,2,35.0,0.05,3047,547,713.65,108.73,0.1524,Stable,704.86,699.0,726.87,707.5,4952.5,9905.0,21225.1,4.3,LOW,2024-06-30
P039,Ice Cream 1L,Frozen Foods,4.99,2.1,4,65.0,0.14,1527,547,542.71,135.95,0.2505,Stable,649.57,673.79,691.77,665.27,4656.9,9313.8,19958.2,2.3,HIGH,2024-06-30
P025,Whole Milk 2L,Dairy,2.1,1.1,2,40.0,0.06,2704,547,659.74,102.56,0.1555,Stable,639.29,661.36,673.0,652.65,4568.6,9137.1,19579.5,4.1,LOW,2024-06-30
P009,Chocolate Bar 50g,Snacks,1.2,0.55,3,45.0,0.04,1662,547,697.79,171.0,0.2451,Stable,528.29,545.5,552.63,538.32,3768.2,7536.5,16149.6,3.1,MEDIUM,2024-06-30
P007,Potato Chips 150g,Snacks,1.99,0.85,4,50.0,0.06,2195,547,498.22,79.97,0.1605,Stable,484.57,479.57,494.63,485.08,3395.6,6791.2,14552.5,4.5,MEDIUM,2024-06-30
P036,Frozen Pizza 400g,Frozen Foods,4.2,1.9,5,70.0,0.13,1858,547,530.09,133.14,0.2512,Stable,442.57,417.79,419.17,430.45,3013.2,6026.4,12913.6,4.3,HIGH,2024-06-30
P019,Deodorant Spray 150ml,Personal Care,3.8,1.6,5,65.0,0.11,794,547,345.67,89.16,0.2579,Stable,418.86,429.71,451.23,428.59,3000.1,6000.3,12857.7,1.9,HIGH,2024-06-30
P030,Skimmed Milk 1L,Dairy,1.6,0.8,2,38.0,0.05,1229,547,384.19,63.22,0.1645,Stable,385.86,389.07,388.9,387.43,2712.0,5424.0,11622.9,3.2,MEDIUM,2024-06-30
P002,Orange Juice 1L,Beverages,2.2,1.1,4,60.0,0.08,1724,547,387.35,62.91,0.1624,Stable,387.43,383.43,388.8,386.5,2705.5,5411.0,11595.1,4.5,MEDIUM,2024-06-30
P015,Toothpaste 100ml,Personal Care,2.5,1.1,5,60.0,0.08,1430,547,332.45,53.43,0.1607,Stable,366.71,350.71,339.37,356.44,2495.1,4990.2,10693.3,4.0,HIGH,2024-06-30
P038,Frozen Chips 750g,Frozen Foods,2.8,1.2,5,58.0,0.09,1341,547,358.49,58.52,0.1632,Stable,349.86,355.79,359.07,353.48,2474.3,4948.7,10604.3,3.8,HIGH,2024-06-30
P020,Dish Soap 500ml,Household,2.2,0.95,5,55.0,0.07,1672,547,359.03,58.91,0.1641,Stable,336.29,355.79,358.1,346.5,2425.5,4851.0,10395.0,4.8,HIGH,2024-06-30
P032,Sourdough Loaf 600g,Bakery,3.5,1.6,2,45.0,0.09,915,547,330.57,56.94,0.1723,Stable,337.14,342.36,338.0,338.88,2372.2,4744.3,10166.4,2.7,MEDIUM,2024-06-30
P037,Frozen Peas 1kg,Frozen Foods,2.5,1.1,5,55.0,0.08,1412,547,335.91,54.49,0.1622,Stable,324.57,322.21,329.3,324.81,2273.7,4547.3,9744.3,4.3,HIGH,2024-06-30
P027,Cheddar Cheese 400g,Dairy,4.5,2.2,3,55.0,0.12,880,547,302.65,49.81,0.1646,Stable,307.14,298.29,306.3,304.32,2130.2,4260.4,9129.5,2.9,HIGH,2024-06-30
P021,Paper Towels 6pk,Household,5.5,2.5,6,80.0,0.16,1720,547,301.01,49.45,0.1643,Stable,302.29,295.0,305.47,300.74,2105.2,4210.3,9022.1,5.7,HIGH,2024-06-30
