date,product_id,product_name,category,supplier,unit_price,unit_cost,units_sold,sales_revenue,current_stock,lead_time_days,reorder_cost,holding_cost_per_unit,region,store_id
2023-01-01,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,1.5,0.6,71,106.5,2329,3,50,0.05,North,S01
2023-01-01,P002,Orange Juice 1L,Beverages,FruitVine Co,2.2,1.1,75,165.0,2025,4,60,0.08,North,S01
2023-01-01,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,1.8,0.75,104,187.2,1096,5,55,0.06,North,S01
2023-01-01,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,3.5,1.8,26,91.0,334,7,70,0.1,North,S01
2023-01-01,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,5.99,2.8,92,551.08,1558,6,80,0.15,North,S01
2023-01-01,P006,Coconut Water 330ml,Beverages,TropicSip Co,2.0,0.9,32,64.0,418,5,55,0.07,North,S01
2023-01-01,P007,Potato Chips 150g,Snacks,CrunchCo Foods,1.99,0.85,126,250.74,2574,4,50,0.06,North,S01
2023-01-01,P008,Mixed Nuts 200g,Snacks,NutHouse Ltd,4.5,2.2,42,189.0,498,7,75,0.12,North,S01
2023-01-01,P009,Chocolate Bar 50g,Snacks,ChocoWorld Inc,1.2,0.55,219,262.8,2781,3,45,0.04,North,S01
2023-01-01,P010,Rice Cakes 100g,Snacks,GrainCraft Foods,1.6,0.7,18,28.8,582,5,50,0.05,North,S01
2023-01-01,P011,Popcorn Microwave 3pk,Snacks,PopKing Ltd,2.5,1.0,23,57.5,877,4,55,0.07,North,S01
2023-01-01,P012,Granola Bar 6pk,Snacks,FitSnack Co,3.2,1.5,88,281.6,1412,5,60,0.09,North,S01
2023-01-01,P013,Pretzels 200g,Snacks,CrunchCo Foods,2.1,0.95,14,29.4,646,4,52,0.06,North,S01
2023-01-01,P014,Shampoo 400ml,Personal Care,GlowCare Ltd,4.99,2.1,37,184.63,713,7,80,0.14,North,S01
2023-01-01,P015,Toothpaste 100ml,Personal Care,BrightSmile Inc,2.5,1.1,51,127.5,1749,5,60,0.08,North,S01
2023-01-01,P016,Hand Sanitizer 250ml,Personal Care,PureGuard Co,3.0,1.2,225,675.0,825,4,55,0.09,North,S01
2023-01-01,P017,Body Lotion 200ml,Personal Care,GlowCare Ltd,5.5,2.4,52,286.0,488,7,85,0.15,North,S01
2023-01-01,P018,Razor 5pk,Personal Care,SmoothShave Ltd,6.99,3.1,20,139.8,430,6,90,0.18,North,S01
2023-01-01,P019,Deodorant Spray 150ml,Personal Care,FreshScent Co,3.8,1.6,53,201.4,1297,5,65,0.11,North,S01
2023-01-01,P020,Dish Soap 500ml,Household,CleanHome Ltd,2.2,0.95,63,138.6,1887,5,55,0.07,North,S01
2023-01-01,P021,Paper Towels 6pk,Household,PaperPlus Co,5.5,2.5,63,346.5,1587,6,80,0.16,North,S01
2023-01-01,P022,Laundry Detergent 1kg,Household,WashWell Inc,7.99,3.5,26,207.74,574,8,100,0.22,North,S01
2023-01-01,P023,Trash Bags 20pk,Household,CleanHome Ltd,4.5,2.0,36,162.0,624,6,70,0.13,North,S01
2023-01-01,P024,All-Purpose Cleaner 750ml,Household,WashWell Inc,3.2,1.4,39,124.8,861,5,60,0.09,North,S01
2023-01-01,P025,Whole Milk 2L,Dairy,FarmFresh Dairy,2.1,1.1,161,338.1,3439,2,40,0.06,North,S01
2023-01-01,P026,Greek Yoghurt 500g,Dairy,FarmFresh Dairy,2.8,1.3,76,212.8,2324,2,40,0.07,North,S01
2023-01-01,P027,Cheddar Cheese 400g,Dairy,CheeseCraft Ltd,4.5,2.2,58,261.0,1592,3,55,0.12,North,S01
2023-01-01,P028,Butter 250g,Dairy,CreamTop Co,3.5,1.8,87,304.5,753,3,50,0.1,North,S01
2023-01-01,P029,Cream Cheese 200g,Dairy,CreamTop Co,2.9,1.4,22,63.8,578,3,48,0.08,North,S01
2023-01-01,P030,Skimmed Milk 1L,Dairy,FarmFresh Dairy,1.6,0.8,106,169.6,1994,2,38,0.05,North,S01
2023-01-01,P031,White Bread 800g,Bakery,BakeMaster Ltd,1.8,0.75,120,216.0,3780,2,35,0.05,North,S01
2023-01-01,P032,Sourdough Loaf 600g,Bakery,ArtisanBake Co,3.5,1.6,93,325.5,1707,2,45,0.09,North,S01
2023-01-01,P033,Croissants 4pk,Bakery,BakeMaster Ltd,2.6,1.1,51,132.6,999,2,40,0.07,North,S01
2023-01-01,P034,Muffins 6pk,Bakery,SweetBakes Inc,3.2,1.4,80,256.0,670,2,42,0.08,North,S01
2023-01-01,P035,Rye Bread 500g,Bakery,ArtisanBake Co,2.9,1.25,17,49.3,523,2,40,0.07,North,S01
2023-01-01,P036,Frozen Pizza 400g,Frozen Foods,IceBite Foods,4.2,1.9,114,478.8,2136,5,70,0.13,North,S01
2023-01-01,P037,Frozen Peas 1kg,Frozen Foods,IceBite Foods,2.5,1.1,106,265.0,1694,5,55,0.08,North,S01
2023-01-01,P038,Frozen Chips 750g,Frozen Foods,FrostFarm Ltd,2.8,1.2,71,198.8,1879,5,58,0.09,North,S01
2023-01-01,P039,Ice Cream 1L,Frozen Foods,CoolCreams Co,4.99,2.1,68,339.32,2032,4,65,0.14,North,S01
2023-01-01,P040,Frozen Fish Fillets 500g,Frozen Foods,FrostFarm Ltd,6.5,3.0,21,136.5,639,6,90,0.18,North,S01
2023-01-01,P001,Sparkling Water 500ml,Beverages,AquaFresh Ltd,1.5,0.6,132,198.0,2268,3,50,0.05,South,S02
2023-01-01,P002,Orange Juice 1L,Beverages,FruitVine Co,2.2,1.1,85,187.0,2015,4,60,0.08,South,S02
2023-01-01,P003,Energy Drink 250ml,Beverages,BoltDrinks Inc,1.8,0.75,228,410.4,972,5,55,0.06,South,S02
2023-01-01,P004,Green Tea Bags 50pk,Beverages,TeaLeaf Traders,3.5,1.8,8,28.0,352,7,70,0.1,South,S02
2023-01-01,P005,Coffee Capsules 10pk,Beverages,BeanBridge Ltd,5.99,2.8,113,676.87,1537,6,80,0.15,South,S02
2023-01-01,P006,Coconut Water 330ml,Beverages,TropicSip Co,2.0,0.9,14,28.0,436,5,55,0.07,South,S02
2023-01-01,P007,Potato Chips 150g,Snacks,CrunchCo Foods,1.99,0.85,70,139.3,2630,4,50,0.06,South,S02
2023-01-01,P008,Mixed Nuts 200g,Snacks,NutHouse Ltd,4.5,2.2,48,216.0,492,7,75,0.12,South,S02
2023-01-01,P009,Chocolate Bar 50g,Snacks,ChocoWorld Inc,1.2,0.55,203,243.6,2797,3,45,0.04,South,S02
2023-01-01,P010,Rice Cakes 100g,Snacks,GrainCraft Foods,1.6,0.7,37,59.2,563,5,50,0.05,South,S02
2023-01-01,P011,Popcorn Microwave 3pk,Snacks,PopKing Ltd,2.5,1.0,55,137.5,845,4,55,0.07,South,S02
2023-01-01,P012,Granola Bar 6pk,Snacks,FitSnack Co,3.2,1.5,91,291.2,1409,5,60,0.09,South,S02
2023-01-01,P013,Pretzels 200g,Snacks,CrunchCo Foods,2.1,0.95,33,69.3,627,4,52,0.06,South,S02
2023-01-01,P014,Shampoo 400ml,Personal Care,GlowCare Ltd,4.99,2.1,16,79.84,734,7,80,0.14,South,S02
2023-01-01,P015,Toothpaste 100ml,Personal Care,BrightSmile Inc,2.5,1.1,95,237.5,1705,5,60,0.08,South,S02
2023-01-01,P016,Hand Sanitizer 250ml,Personal Care,PureGuard Co,3.0,1.2,84,252.0,966,4,55,0.09,South,S02
2023-01-01,P017,Body Lotion 200ml,Personal Care,GlowCare Ltd,5.5,2.4,54,297.0,486,7,85,0.15,South,S02
2023-01-01,P018,Razor 5pk,Personal Care,SmoothShave Ltd,6.99,3.1,26,181.74,424,6,90,0.18,South,S02
